"Observed","10-minutes-ahead","20-minutes-ahead","30-minutes-ahead"
1420.1,1491.13684082031,1505.70397949219,1537.92578125
1832.1,1845.52416992188,1846.61535644531,1836.18298339844
1473.3,1474.22985839844,1280.79711914062,1375.48901367188
1170.9,1481.24816894531,1474.35827636719,1464.60693359375
1102.6,1318.86669921875,1186.73205566406,1261.84033203125
1014.1,1168.09802246094,1134.09704589844,1183.06530761719
941.2,1207.18908691406,1227.08483886719,1182.83679199219
1135,1180.06213378906,1169.42602539062,1211.55993652344
1355.3,1334.29858398438,1259.14282226562,1346.56188964844
1576.6,1546.67333984375,1510.77624511719,1530.35974121094
1443.3,1402.03430175781,1389.64636230469,1476.34765625
1294.9,1311.64135742188,1380.29467773438,1439.12915039062
1240.7,1188.02758789062,1294.08117675781,1165.36279296875
1027.5,1206.32861328125,1176.1015625,1186.09045410156
1378.1,1338.58508300781,1173.53393554688,1198.45629882812
1510.1,1401.00512695312,1383.71923828125,1383.25695800781
1297,1264.43969726562,1372.73205566406,1359.99194335938
1169.3,1163.24182128906,1173.85876464844,1278.18640136719
1045.3,1078.34790039062,1098.36840820312,1052.03894042969
1145.2,1068.24328613281,1050.11877441406,1092.05517578125
968.1,1086.76306152344,1167.29016113281,1138.4306640625
1199,1206.15808105469,1204.83117675781,1181.69604492188
1286.2,1209.60241699219,1218.94348144531,1203.29699707031
1275.3,1227.47473144531,1206.08361816406,1261.18627929688
1142.2,1129.34802246094,1168.80590820312,1106.18640136719
1348.9,1286.09924316406,1264.16040039062,1101.57470703125
1498.3,1396.73681640625,1293.07458496094,1211.63403320312
1687.7,1544.27221679688,1519.12817382812,1532.37377929688
1508.5,1461.85681152344,1400.24670410156,1466.59448242188
1750.7,1449.93640136719,1428.42626953125,1350.08129882812
1623.9,1411.78454589844,1408.67248535156,1397.23327636719
1556.7,1448.14990234375,1402.54382324219,1362.13293457031
1221.8,1374.55517578125,1314.1982421875,1285.47570800781
1147.3,1223.8154296875,1229.51721191406,1200.54638671875
1197.1,1254.75183105469,1346.92309570312,1272.39489746094
1433,1391.9033203125,1429.76452636719,1356.25268554688
985.3,1293.14172363281,1322.48156738281,1273.255859375
1136.2,1393.68640136719,1376.30187988281,1208.75073242188
1061.1,1204.34814453125,1055.96887207031,1210.93176269531
1344.8,1272.73864746094,1307.2529296875,1249.94934082031
1013.2,1210.72900390625,1257.01696777344,1257.8515625
945.3,1101.240234375,1115.25329589844,1214.54541015625
1011.1,1114.6396484375,1116.31555175781,1089.97912597656
1164.2,1171.82263183594,1235.24670410156,1171.66687011719
1420,1260.27062988281,1259.58837890625,1274.22009277344
